Puzzle,Clues,Category,Difficulty,Validated
......6....4....9..1.69...5.2.546......8..23.6........3.12........71.9..5.....7.8,24,4,0,Valid
......6...29...5...8...9.3.21..3........2...6...6...5473...6...8..4...959........,23,5,1986,Valid
......6...6.137.........1.5.2.6.39.4....8......8.2.7...864....1.13.5..2.2...1...9,27,4,0,Valid
......7...6..28.4.........513...689.....374......1..2..457...8.6..483.5189.5....4,30,3,0,Valid
......7..1....6234..7.8.165.....589.45.7.8..2.9...14.66213.4.....3......97.....43,33,0,0,Valid
......79..5.178...7.4...125.1245..7....91...35..7.32....58...479..5.46..8..6..9..,34,2,0,Valid
.....2.787..46.1..2.85....61.39...6.....2..938...56.1....7..3..374.9...1.8....9..,31,3,0,Valid
.....3.....1.8.......679.8...2.......3...86.29...1....28.5....1.9..6...5.1....927,25,4,0,Valid
.....3....8.........956..3..14.5..9.6....7........2..3..3..157.8.......296..8....,23,4,0,Valid
.....3..8...1.92..5.4.7.1....2..57...6....92.35.8.......3.....647.........67.....,24,4,0,Valid
.....3.8.5..4..2.629...71.4.....8.9.4.......23..2..7....7.9..28..1.5.............,24,5,184,Valid
.....4.....1.7.....973....4.2...6.59.7695..8.9..417....82...61.......873.3568...2,32,2,0,Valid
.....4...5....7.39...58...22..4...5...7..8.1.....1...6.2.......9.....625384...7..,25,5,249,Valid
.....4...6.......8......12.1.3.....6..98..7.....3...52....8.9.5..794...13.6.51...,25,4,0,Valid
.....4..7654...........91.8..2.96.........93..8.3..4..531.2....9..7..........1...,23,4,0,Valid
.....4.6..5..7........6.24.2......86.....347..89..231..21..6......9.....6...8....,24,5,685,Valid
.....43.....5.7...4...8.16..13..89.45.69...327..2....1371.9..8.9857..4.3....3....,33,2,0,Valid
.....45....5.87.1.....6..84.3....79..46..38..978..2..52.78.6.5...179.64....3.....,32,2,0,Valid
.....5..8.5....2.362.73...5..2......53..6.7......213..9...14.....4.9.86..........,25,4,0,Valid
.....5.8.85..4...6...67.14.3......98.6...3...78.5..36.67.......925..1..34..7..92.,31,3,0,Valid
.....54....6984.574.826713.31....79.5...79....8.61.....2179.......526...9..8.....,34,0,0,Valid
.....54...4..6...8..1..9.5...2............31.89.3....2.1....74.....21...6.7.4.9..,24,4,0,Valid
.....56.945..791.....63..4.1253847...4......1...5.732.5.4........9...81..62.91...,33,2,0,Valid
.....56.97.51.9......7481.......7.9645..91.2.9.86..4..2.7.....3.61...9.858....76.,34,2,0,Valid
.....57..5...983..8.946.1..1.3...958.......7....3..2..36........546.1....8..2.49.,29,3,0,Valid
.....57.8.841........67..2....2.....2..9....3.7...46..3.1.9.....6.8..4........5..,23,5,6871,Valid
.....6..9..9.21.46236....5....54..9.64...8..77...6.4..31.87...4.6...2......63.81.,32,0,0,Valid
.....65.......7.1..1..8.3..12.4.........9..627...6.....9...2..36.........3.9...78,23,4,0,Valid
.....65.......721..17.8.3..12.4.........9..6.7...6.....9...2..36.1.......3.9....8,24,4,0,Valid
.....7.8.2..15...6..5.........2..........1673.8..3..41.4....3....8....129..8.67..,25,5,1035,Valid
.....728.1.9...4...4.68....4.2..6...56...8.2.....1.5.6..18..........2.159..461.72,30,0,0,Valid
.....9..738.5..2461..2...9.2....7.8956.......7..6..41.63571...8.......6...18.2...,31,0,0,Valid
....1....85.....3..4.58.2.9....65..7.18..34.276.4..31.681..2.4.3.2.4.6..4756319..,38,1,0,Valid
....1...7.6.37..........2.8.....6.9..7.9..4....8.....27...95..6..2...9...36...8.4,24,4,0,Valid
....1...851...9...8.45..12..2......916.9.28344...3.2...32.9..7.7..4.398..486.1...,35,1,0,Valid
....2.........7128.41.8.3.71..9.......5....12.6...8.4.4.6....9.8...54......6.....,25,5,2395,Valid
....2.........91...9...83.5..3...7.645.9...............3....46...45.6..297.4....3,24,5,623,Valid
....2....1.4.8..5.3..4....22.3....8..75..8.....6371......8..9.4647..5.219...1....,29,0,0,Valid
....2....4.1387.........1341.37..89....9.1..7697..8...7..8529...59....6...2...5..,31,3,0,Valid
....2...9...3.51..1.9..8.........5.........72478....6..53.1.7.......39...6..7.8.5,25,4,0,Valid
....2...92......7618.....4.....467.8.9....6...68917....26..38.1...8...67.3.7.1.24,32,2,0,Valid
....2.45..14...3.....479....2......7....97.3189.3.6...97..6524.64.7.1...3......1.,31,3,0,Valid
....2.69......9.48971...2..14.58796.6..9..8.438.6.175.21....4..8...5.....6.8....9,35,1,0,Valid
....2354......93.8593..8.......8..9.74.9.1..38.....614218.9.....6..7...1.7.6..8.2,33,2,0,Valid
....248..349.....7...5..13......7.965.76.1....98......7...4.6....2.5.......8.....,25,4,0,Valid
....25389..9.....41...........3.....3.679..4179......56...4.9..8.19.2...942.7.81.,31,0,0,Valid
....26.8.192...4.....4..1...14..59.82.8.7.3.55...4...2......8.183.71.....4.5.826.,33,2,0,Valid
....3..79.4.5.....3.....2........8..27.......89.4.7.5..2..5..367..8.2.919.....5..,26,4,0,Valid
....3.56.25.186....4........1.5.7.9.4.896....5.98.3..4..4...9.173.4...5..8..1.3..,32,2,0,Valid
....3.78..7.5.....3...17.....415..7.1...9.32..8.3..5..6.5.....28.....4.1.........,25,5,1034,Valid
....34...67.15....3....9....1......4.5.9....2.89..2.....1...6.....54.7...6.....8.,23,4,0,Valid
....34..6..6....78...6.8234...84....4.79...........7.1.2..9..17.314..9..95.76.8..,31,3,0,Valid
....3679....1872...72...3..21....863....5....6.7...45...95...7..63912....2.87..3.,33,2,0,Valid
....38.6..6....1.7...2....5.134.67.8.....9.138.7....46...6719....19..3....4....5.,30,0,0,Valid
....39.786.9..5.34.3..67..531....7..4...9..1......2...5..6.48..7...51..2.4.8..56.,32,0,0,Valid
....4...84......5.....7.1...2....5....95.1....58....1363.9..8....2.847..........2,24,4,0,Valid
....42..9.9....648........22..8...9...9..6.14.78.1....527.6.4...3....9.....574...,28,4,0,Valid
....45.78...16...9..8.....31.3......5.6..2.4........12.3.97...19..4.....8........,24,4,0,Valid
....482.9..8....371..35..6.2.45..........9.16.9.47132......4..264..1..739..6.3...,33,0,0,Valid
....5...........4684..1...532.....971......6...58.7....8359.2..9....1..4..6..3...,26,4,0,Valid
....5....3.67.8.......3..451..4......648...138..3.2..66315..98.7....3...9.56217..,33,0,0,Valid
....5...8.893..1..3....8....3...67.9.4.297..3..6...4252.3.8..47..493.5.29.57.....,34,0,0,Valid
....5.78918..74.....72.9......53...8..6..1..77.....31.6319.5....4....9..9.2.4..31,32,0,0,Valid
....6....1..237...2.645...7.1.54......78..362698.....5......59.84.9256..96...48..,34,0,0,Valid
....79..8.8...6......12894.13..4.....45.912.....26..5..1..85..4.......3695.7..81.,32,0,0,Valid
...1......184...6.....7..35.3.....5.4....58....931......6.97.....1...98.8........,23,4,0,Valid
...1.....8....9..4..5.7..23.2...579.....4..1.6.7......2........71....8.2...5.1.3.,24,4,0,Valid
...1....9......24..925....7.13..7......98.....79..23..6...9......8.364.17......8.,26,5,58,Valid
...1...791.9....5.3.....2...123..8975....2..479..14.62.2...378....67.9.....2.16.3,34,0,0,Valid
...1...8..74..91....16......3....9......31.27..98.5..424.........6.8...........62,24,5,2206,Valid
...1..5.8.7.95.13.....6..9...34756...5...931.7.96..2..5...34.7683.5.6...9..7...5.,35,0,0,Valid
...12..6.9.........2......5....57....6..8.....7....3214..9....2..56....3.968..4..,24,4,0,Valid
...123.7838.4..2.......9...123....9.6..9.2....9....4.72.57.1.4.91..6......6...9.2,31,3,0,Valid
...13...8.5....1....3...2.9.14..37....9....26..67.......89.7......6...4.6....5...,24,5,121,Valid
...134....8....417....982.5124..3...3.7.8296.69....32..6..2.....31645.........7..,33,2,0,Valid
...138....3..5.4.92.....13831..46.....58.73....9...56452.7...836..98...598....6..,35,0,0,Valid
...14...9...29..7.693.7...2...8.4..........86.78.294.1..1...8.59.24..6..86..1...4,32,2,0,Valid
...15.....5..394..4..7....5.3.....485.....371.9.........38......7.41.....6.....9.,24,5,282,Valid
...2........1.926479.....3.1.3.4...8.56.2.39..7..1...6.48..2......65..4.......957,30,3,0,Valid
...2..5.96....73....58.9...1324..7......1..8396....2.4..379.....4.58...........3.,28,4,0,Valid
...2..56........8..6...8..4...18...5.567......97...4..4...3.6....58.27....2...34.,26,4,0,Valid
...2..6..9..37......7..914332.16...71...4....4.9...8......93..678......16.285.73.,32,2,0,Valid
...2.45....3.7.....8..6.1373.2...6.5.6.8...7..793..41.5......9..36495...94..1.3.6,34,2,0,Valid
...2.5...51...6....8....1.33.....79.....6.....9.....1.93.8..4.28.27.....4........,23,4,0,Valid
...21...7..4..6.3925...9.683..14..9....965....89....4.7.1............6.38..7.2...,29,3,0,Valid
...234567....65....5...914.1...56..84.5..7.12.893...5...1.2.9.46729.....894.7....,37,0,0,Valid
...25...7....16.39..73...8...3.65.9.546..71.......3.4..1593.....32.7..1697.......,32,0,0,Valid
...34.....83..92.6.7...81...1....697...4.......8.2.3...2..1.8.39.............2...,24,5,114,Valid
...359..........5.1......73...54.78.4.7..13.2..6273..4531.8..9..4.9..63.9....58..,33,0,0,Valid
...41......4..713.....89.2...5146.8.1...58.62.9....514.19.7..5...6...893852..3...,35,1,0,Valid
...489..66...31.57234.6.8...126..7...6.7.8.23.9.1.....5......4184......5..1.5...2,34,0,0,Valid
...5........2.14..23....9.61.36..7..4.6.97..38......6431278...5.78..63..9..3....1,33,0,0,Valid
..1..4689.3.7.61..4..158.2...34....8...8.9.1.89.31.45631....9.4.75......98.....7.,36,0,0,Valid
..1.246.9.23..8.57468..9...1.4...7982.69...14....3...5....45.7..4.6..5..3.5..2...,35,1,0,Valid
..1.3.4.727..6.1....61..8..12.......4....23.66.9.1.2547.2..5..3.........93.78....,31,0,0,Valid
..1.354...56..1..8...6..31......6.974...8......81.3..65..3..9.....9.2.3...78.4.5.,30,0,0,Valid
..1.467.......735.3..5....2....65....7....54.8.6.79...41..5.89.7.5..3.21..2......,30,0,0,
..13......8962..372...5.89.1.3..57.945...836.69.71....3.254....86..7.5........6.2,36,0,0,Valid
..2........52...4.....67..1......6....79.1.2.48.6..5...54.........518..287...2...,25,4,0,Valid
..2......1.78...45.5.2.6178.1346..9.5...91.237.6.2....6....3...87.9..5...3.6...1.,34,0,0,Valid
..2....79..7.89....4.5....812.9.78.....8....28..3.54...1.....5.5.8..372....4.2...,29,3,0,Valid
..2.5.......18.2...95...14.1..6...9.5....8...6...72..4....6...87.4.....3...7.....,24,5,99,Valid
..2.5.3...7.9.1.5.3...68..71..54.7.8..7.8......63724..23.6.58.....8...32.84.....1,34,0,0,Valid
..3...7...58...2.66.9.4...121..6589...5..91......1..63.......7.7..9.1.35986......,31,0,0,Valid
..3..5...6......455.....2.91.27.6..........2676.4.8...2.4.7.8.33......9...7.645..,29,3,0,Valid
..3.2........68......3....41.64....73......81..8....2...7..5...85.9...4..6.7....5,24,4,0,Valid
..3.45.....8..32.7..67...5312.9...6.5...........4......326.8.7.......8........9..,24,5,158,Valid
..3.567.92.8....4.......6.........9635..89.7..974..153.317......458...6.9..6..4..,32,0,0,Valid
..31.5..9..7.3..48.....82....5..379..........49.....12...5......51.....48....7...,24,4,0,Valid
..31562....9...4...5......1.12..7.9.5.6398..........3....7.4..5.....5..297...16..,28,0,0,Valid
..4.......2....3.8...4.81.5........7.9...2.......674127..59.2.....2.6...8......5.,24,4,0,Valid
..4.....8.76.59..3..2...45.....6.945..7.428...8.3.........9......52..7.66.87.4.1.,30,3,0,Valid
..4.....828...1.6..6..9.1..3.6...........2..1......254.128....7...5..9..9..7.....,24,4,0,Valid
..4....8..2.37814..874.9..6.1.2...982.6.15..347.6..5....1.82........49.79437.....,36,1,0,Valid
..4.7.2...7...3.4..2.456..3.....768945.29...7...3.1..2341.85...7.59.283.9.....57.,37,0,0,Valid
..42...3.35.....7......98.4.1..65.....5.9.312789..34...3....647692.14...8..5.....,33,0,0,Valid
..435.....592..4781264.....2.....7..4..89..3..9....56.5.1...69.....35.17..76..34.,34,0,0,Valid
..5.......9...8..3.....926..23..........91..87...3..14.......5..6.2.4...2.43.....,23,4,0,Valid
..5....7.1.73....5..9..6.2....49....4.......779....2..63...2.......4.6.1....1.9..,24,4,0,Valid
..5...2.6.4786......645..713.2.46..84....16...792...15..13.8......9.45...9.....3.,33,0,0,Valid
..5...6.9...16...5.4.5.8..321..5....3......17.987..5344...1..6..39.........987...,30,3,0,Valid
..5..41.9.3.6.......8.79326.12..67.8..68.721..9712.5..56...1..2.2..6..3...1.4...5,37,0,0,Valid
..5.24.6742......9.6.5.....1...56.....6..9.1..8.....52....728.594..352.157.8.19..,34,2,0,Valid
..5.3.8..9.....3.67....9.2.2.46.79...9...15....8.9.2.1...386.....7.......5.7..4.8,29,3,0,Valid
..5.43..717.2.9..894..78....12.........63.....68..431.6..89...1.9...6.......5.76.,31,3,0,Valid
..51...87128...3.....5..1...1...4.6..84.21..3.69..84.23718....6..6.43.7..4.7...38,36,1,0,Valid
..6.....8..52....31.8...2.6.1...7.4..4.98..........51....792...89.5.........1....,24,4,0,Valid
..6..9.471..8.42..2...56.1.31.46.....6...8..3...2.34.5.21...9..85.9......7..8...1,32,0,0,Valid
..6.23......4...9...4.8....1.28........937....8.6...4..1.....6469....531........8,25,4,0,Valid
..6.3.7...89................1...3..83..86.....6.42.5.....9....585.....4.9..74..1.,24,4,0,Valid
..6.4.38.2.9..85..3...79.244..3.6.9..6...7.4...741..35.2...49..73.9....6.85763...,37,0,0,Valid
..6.4.7...5.2.83.....3....2......968.7......15..831...3.......7..4..3......62....,24,5,136,Valid
..612...7....56..92.5...1.612.....9.4..9....36....8.15.61487......6923...9...38..,33,2,0,Valid
..62.3....93.....647...9....24...3976..9.........7156.76...52.8...71..5..35.2.6..,32,2,0,Valid
..7....6.1....42.73......84.125.6..85.3..7..27.841..3..21.8.94.8..9.56...........,32,0,0,Valid
..7.32...5.67..1..3.14.678.1..........96.15388.3...24.234.1...6.1897..........8..,34,2,0,Valid
..7.58..636.1...59.4.2....3213..5..7...7.1......62..155..8.79..6.....58.8.2.1..3.,34,0,0,Valid
..7123.59......2...3...........4.7...5689.....9.23..6.52...49.38...126....4..5..1,30,0,0,Valid
..8...1..35.7...4.1.74.........4769.4....1..58..36..7.531...8.2........996......4,29,0,0,Valid
..8...1.645.7.1.8...3...7...1.3.6..7..5.9..128....4.6.53.4.2....4....3..98.51....,31,0,0,Valid
..8...1.7.79.3.25.1452...9631.64...94..89.6.....3.7..........6.7849....1..31..8..,34,0,0,Valid
..8..45...2.3.5..89.....1..2...47....1983..5.7.......16.1.........7.2.........6.9,25,5,347,Valid
..8..6...3597.....46.....53.2.....975..891.2.8962..5....15..94.....13.......427..,32,0,0,Valid
..81......2....3.74..37.1..2.345.798..4..8.......1.4..3..8.2.7567......49825...3.,33,0,0,Valid
..82........1....8....68.37..3.....44....27...8749......1..62.....3.5....2....9..,24,5,1811,Valid
..8213.7.5.....168...586.4.2.......6...92.3...5..6.4.131...2..4.7.8.1.35.49..57..,35,1,0,Valid
..9.........1..53.6........2....37.63..8.2....9.......4...98.6..37.14.2...63..4..,25,4,0,Valid
..9.....8..816.3.....5.8..61..2...8.5968....27..4.96..3.7.81......74..3..2.....49,31,0,0,
..9.2.4....84...3713.......2......7....915..2.......15.5.7...6...3..2....8..3....,24,4,0,Valid
..9.34.57.41..7.8.7..2.9..412......84.5...32....3..46563..9.5.....4..9......568.3,34,2,0,Valid
..913..7.....7..3.......4251..........7....424...2.51354...8....3...78..8.6942...,29,3,0,Valid
..92.8.4.2....3...3..5....24....67.8..3..71.....1..6....1.45.837.49.1...9..63.4..,31,0,0,Valid
..924.......138.5......71231.27..89659.8.27...48.692..25.9.6.........97..7.......,34,2,0,Valid
.1...67..9..1.7..5587..91.3..563..4.3.6..1...7.......6..9.652...714............9.,30,3,0,Valid
.2....7..1.6...3...3..59........3...37....4.55..4..81.4.1..2.8.......2......1....,23,5,416,Valid
.2..16...8...3..4.64....2.....1.7....7....82..6...5.1...2.937..7.....964.......8.,26,4,0,Valid
.2..3......6.5...4.....82.....967.5..5.......8......122.....3..91......7...32..48,24,4,0,Valid
.2..3....579........1....45.......96.6...87..8..6.15...53.9...7...38.4.......2...,25,4,0,Valid
.2..4..7.......1.9........41..92.78...8..1.9.4...375....17.8.62586...............,26,4,0,Valid
.213.5..97.621...8..368712.23...69...7..2346.1......5..978625....573.8...8...1..6,40,1,0,Valid
.241......8.....5....6..3......5..9...8.4...74.......1.....41..5....6.729.7...8..,23,5,639,Valid
.243..15....8....4.3...58962.34.6.8..5..983.....12.4..3......7.671.84....8.5.....,33,0,0,Valid
.3......767..531.4..54....82....6....5679....7..2.1..6..1682.7.5629.4.3.......6..,33,0,0,Valid
.3......951...8.34.8.2..1....5....684..9.23....7..3.....8.6....6..3.....9........,24,4,0,Valid
.3.1....84.7..8..95..7....4....35...3......267...........9..16....4......1...29..,23,4,0,Valid
.3.145..865.....9.4..68...51.34.698...9.3.4.........1.....983417....4.....45..7..,32,2,0,Valid
.3.148.........347..9...6..3...6....4...8.9.6.965.312.521..4.7......54..9..73...1,32,0,0,Valid
.3.2.9456.7...5.3.....3.792...5...7956.8...13897.12.6.621..3..57.....6..9.....3..,36,0,0,Valid
.32479.5...9..3.67.5.....3......78.554689.....9832..1...175.9..86.932...9...8...3,37,0,0,Valid
.37..82.5...7....9.24..986.....7..9.45....3.2.8..36...341.8.......9...8.8..6.2.13,32,0,0,Valid
.39.4..8.7.8.5.1.....7..23631.9.48...5...1..2....254...94..8.2..2..176496.......8,35,1,0,Valid
.4.....8.6...8934.9.3.....51..346.983...92..14..5..26.5..823....94....32...97....,34,0,0,
.4....2..1...2..4....3.....312....9...57.9.238..2.3.5652.63..78......5.498..716..,33,0,0,Valid
.42.5768.17....24.....48..3..3.6...8..6....12......45.6...7.9.4..49...2..315....7,32,0,0,Valid
.423.6..9..781....6.......3.1.4..8....5..8..27981.346.52...4.788..97...4.7......1,34,0,0,Valid
.46....5.....591.....3....631.465.9...78......95...46..2....984.7.9.45.2..451267.,35,0,0,Valid
.461....8...6.713....3.8....13..5..9...79..25......46...1.748.28.....61.9.281.5..,33,0,0,Valid
.5..........2.74.84.75.9.2.21394....54.8..391.9.3.........9861.6..4...72..16.583.,36,1,0,Valid
.5......96.........9....13.......7.......28.546..59.......2...7..18.4......63.5.2,23,5,32,Valid
.5...4.89129....7..3.6...2.21..47.....5.....8.....3...........26..2..593.........,24,4,0,Valid
.5.1......68.491........68..12..67.8.75..13....63..45.521.8...4.8..2...3...7...6.,32,0,0,Valid
.5.1..4..2.6..........8..3....4.6...........3......521.6...4...87...39.491.7.....,23,5,1150,Valid
.53..4........72567295..1..13..4...8.9.8.132.......4.728..5..7134..78.6........4.,34,2,0,Valid
.56..4.8......8....8...71321...4.6.....2........63..4.5.2.....1..1...9.....8.....,23,4,0,Valid
.56124.7....3.......8.....5.23.4598..7...162.68..734.184.9.2...3...1.8947...8....,36,1,0,Valid
.6........7.245..81.536.4792.3.5..97.5..9.3266..72.5...316.7........465.9...32...,37,0,0,Valid
.6.......3.....1....5..8.3.....6.8.7..8....2169...........96......58...2.893.1.4.,24,5,433,Valid
.6.....7...2.5.6....48.9......64...84..9..5.15.............4..29......3....281...,23,5,1036,Valid
.6....578...16...9.8457..6.2138.5....5.....3.7...1......149.78.9...81.26.427.....,34,2,0,Valid
.6..3.5...2.........4..8.6.2.61.7....589....74.98.5321543.9218...7...9...12...7..,34,2,0,Valid
.61.783...7923..6...8....7212....8....6897.1....3.254.612.....4...9..6.598..2....,35,0,0,Valid
.6213...889.5..1...73..9....1....9.42...7.8..78.....6..2..9.3..9.874...1...852...,32,2,0,Valid
.7......9...15.........8..31....75...569..3.2.....34..3...6...48.2....1....4.....,23,4,0,Valid
.7.....8.4..2.9..6....6.457..3...79..4.8.1..2.9....5..3.2..4.....591....98453....,30,0,0,Valid
.7...8...14..623..2.64....7..2.4.........31.2...21.435...674.8.76..8......43..6..,31,0,0,Valid
.7..2.......5...38...4.....1....7.9........1.65.8.......3.9.7.5.42.........21.9..,22,4,0,Valid
.71..45.9....89467....67...13.6...4......832148..1.....47...15...8..6...36..2..9.,33,2,0,Valid
.76....8.1..4...7.5..6.9.2......78..4...5..3.6.93..........69.18...4.............,23,4,0,Valid
.761.4..8...3..2.7245.8.1.......8..54.89....6.9.53.4..5.4....2..6.215....1..4.7..,33,2,0,Valid
.78.....6...9....83..5.812..1.4......5..812.3689..7.145.17..86..648..9...9..6.7.1,36,0,0,Valid
.8............51....1...26..3.17...51..8..62.5...2.4..6.29......9..3..........9.6,24,4,0,Valid
.8.1.9.....92.6.381354..2..31.5.7..9..8.91..26....2........3.4..5....7.19.....82.,32,0,0,Valid
.8.13..6..47.......695.8...2..3........96.4....8....1...3.....5......93....6...2.,23,4,0,Valid
.85..3..63...........48..352.4.5..9.5.9748.1...89.2..3...87.3.172.69.8......349..,35,1,0,Valid
.9...7..8....823.6.3.4..91..12......4.627..837.....4..5.17.......3.1...2.6.8257..,32,0,0,Valid
.9..2....4....81.912......62.4....973..7.1..5.....4.6.5316..9.484..1....9.68....2,32,0,0,Valid
.9..2..7...............91....4.3...73..9..21....8.25.42.6.7.9...7..81..35..3.....,26,5,76,Valid
.9..4..78.7426......6..9...312.....6...9....55.....4316..5.......87.1...7..48.91.,30,3,0,Valid
.9.1..4..43.5..2...7..89..51..9..7........69......4..2.....5...7..8......62.3....,24,5,1315,Valid
.9.2.3..87...5.1.......9.......7....15......2...6.4...5..9...24.275...8..4.......,23,4,0,Valid
1......8....3.7.4.467.89..2.2416...76..9....4..84.23...1..3..9.....2.675.5.7..2..,33,2,0,Valid
1....4.8....1.8..6...67......3...69.5.7.62.1.....815..348795..1......93.92.4.....,31,3,0,Valid
1...35.8926.....57.3...712.4......98.97.64..5..871..3...198....9.........8.5.6...,32,2,0,Valid
1..2.4..9...........8.5..342.9.83.47.637..8..4..92..1......5..3.........6324.7...,29,3,0,Valid
1..3.6..9..6.7.1.5..4.5.2.6.17......4..9...7.....3.8.2.5..9......36.....8........,25,4,0,Valid
1..45...9..8.2.4...467...1321......7....4.6......19.....5..2.7....3...5.8........,25,4,0,Valid
1.7.3....8561......2......5..4.56.....59.146.6.972..134.1..7......5.38.4..84...3.,33,2,0,Valid
14.5.6.8.2...793.6..6......3..2...9.5..6....7.8..9.2.1..291.8....5...91.9.1..456.,33,2,0,Valid
2.........3....456..9...1...4......8...93.........15......12.7.8.2.6..4.3.1..58..,24,5,69,Valid
2......8.5......37.185.......39...7.47.8....1..9.1..52751.9..2484.7.1........2..5,31,3,0,Valid
2.....3...6....12....1.8.64....468.75.6.......98...5.....8....5.7...1...9356.....,26,0,0,Valid
2.....68....3...4..67.8952..24...7....6.92..8.9...4.3563.8.5..287....3....5..3..1,33,0,0,Valid
2..14.......3.6457....893.2..245...65....81..79.....4...1..49...4.9..76...3.6.52.,33,0,0,Valid
2.315.79...523.1.4..7.8.....2.....8.35...14.....3...16.319.4..27.2.6.8.....8..3..,33,2,0,Valid
2.6.3478....2..4..8....7....234...9....9......9...8.14.14..2...7.2....319.867...5,31,3,0,Valid
25...8......9.314..34..7....1..56..8.67.....3...3...265.36...7..4.8.5..2.8.7.26.4,33,0,0,Valid
3.............9.....94..2...13..5..7.5...7.4.6....4.2354..931..8..7.........82...,25,5,5200,Valid
3........57.6...4...2..9..81......59..8.........4..7.....7..18.....43.7.93....6..,23,4,0,Valid
3......7.5.79....8.2967......3...8..475...3.6....1...4.....1....5..4.963.8.763.41,31,0,0,Valid
3.....6.95..1.9.8..9..7.1.5123.57...45....8.38..3......18.........58.317...4.29..,32,2,0,Valid
3....5.......3.2.7..2...1.........98.....13...9.7.3..5.1.98.5..7.84............4.,23,4,0,Valid
